method,split,seed,episodes,success,fixture_correct,parameter_error,force_violation,damage,repeated_failure,path_efficiency,energy,calibration_brier,tail_risk
adaptive_probe_then_act,adhesive_tether_fixture,0,14,0.92857,1.00000,0.20209,0.00000,0.07143,0.07143,0.66979,1.79644,0.12555,0.07143
adaptive_probe_then_act,adhesive_tether_fixture,1,14,0.78571,1.00000,0.19988,0.00000,0.00000,0.21429,0.59001,1.81761,0.17113,0.21429
adaptive_probe_then_act,adhesive_tether_fixture,2,14,0.85714,1.00000,0.20305,0.00000,0.07143,0.14286,0.63398,1.82056,0.12648,0.14286
adaptive_probe_then_act,adhesive_tether_fixture,3,14,0.85714,1.00000,0.20171,0.00000,0.00000,0.14286,0.62554,1.78961,0.12777,0.14286
adaptive_probe_then_act,adhesive_tether_fixture,4,14,0.85714,1.00000,0.20306,0.00000,0.00000,0.14286,0.63398,1.78632,0.12805,0.14286
adaptive_probe_then_act,adhesive_tether_fixture,5,14,0.85714,0.92857,0.23687,0.07143,0.07143,0.14286,0.63917,1.83567,0.08529,0.14286
adaptive_probe_then_act,adhesive_tether_fixture,6,14,0.78571,1.00000,0.20371,0.00000,0.07143,0.21429,0.58106,1.81381,0.18182,0.21429
adaptive_probe_then_act,adhesive_tether_fixture,7,14,0.92857,1.00000,0.19995,0.00000,0.00000,0.07143,0.67858,1.80708,0.09737,0.07143
adaptive_probe_then_act,combined_fixture_stress,0,14,0.78571,1.00000,0.20864,0.00000,0.07143,0.21429,0.60628,1.90348,0.15781,0.21429
adaptive_probe_then_act,combined_fixture_stress,1,14,0.85714,1.00000,0.20647,0.00000,0.07143,0.14286,0.67650,1.83435,0.13461,0.14286
adaptive_probe_then_act,combined_fixture_stress,2,14,0.85714,1.00000,0.20894,0.00000,0.00000,0.14286,0.67625,1.86062,0.13438,0.14286
adaptive_probe_then_act,combined_fixture_stress,3,14,0.92857,0.92857,0.24690,0.00000,0.00000,0.07143,0.69103,1.86360,0.09466,0.07143
adaptive_probe_then_act,combined_fixture_stress,4,14,0.71429,1.00000,0.20714,0.00000,0.00000,0.28571,0.58786,1.87109,0.17568,0.28571
adaptive_probe_then_act,combined_fixture_stress,5,14,0.71429,0.85714,0.27861,0.07143,0.00000,0.28571,0.57214,1.93944,0.15415,0.28571
adaptive_probe_then_act,combined_fixture_stress,6,14,0.64286,0.92857,0.24079,0.07143,0.14286,0.35714,0.51449,2.00249,0.19764,0.35714
adaptive_probe_then_act,combined_fixture_stress,7,14,0.85714,0.92857,0.24037,0.14286,0.14286,0.14286,0.65596,1.98803,0.06802,0.14286
adaptive_probe_then_act,hidden_clamp_hinge,0,14,0.78571,1.00000,0.20101,0.00000,0.00000,0.21429,0.66704,1.80575,0.19615,0.21429
adaptive_probe_then_act,hidden_clamp_hinge,1,14,0.78571,1.00000,0.20266,0.00000,0.00000,0.21429,0.66688,1.77513,0.16619,0.21429
adaptive_probe_then_act,hidden_clamp_hinge,2,14,0.85714,1.00000,0.20055,0.00000,0.00000,0.14286,0.71137,1.76765,0.13051,0.14286
adaptive_probe_then_act,hidden_clamp_hinge,3,14,1.00000,1.00000,0.19998,0.00000,0.00000,0.00000,0.80000,1.73190,0.06013,0.00000
adaptive_probe_then_act,hidden_clamp_hinge,4,14,0.92857,1.00000,0.20050,0.00000,0.00000,0.07143,0.75567,1.76145,0.09913,0.07143
adaptive_probe_then_act,hidden_clamp_hinge,5,14,0.92857,1.00000,0.20170,0.00000,0.07143,0.07143,0.75554,1.73735,0.08883,0.07143
adaptive_probe_then_act,hidden_clamp_hinge,6,14,0.85714,1.00000,0.19961,0.00000,0.00000,0.14286,0.71147,1.75773,0.11627,0.14286
adaptive_probe_then_act,hidden_clamp_hinge,7,14,0.85714,1.00000,0.20027,0.00000,0.00000,0.14286,0.71140,1.75073,0.14227,0.14286
adaptive_probe_then_act,nominal_visible_fixture,0,14,0.85714,1.00000,0.19797,0.00000,0.00000,0.14286,0.67735,1.65898,0.12171,0.14286
adaptive_probe_then_act,nominal_visible_fixture,1,14,1.00000,1.00000,0.19729,0.00000,0.00000,0.00000,0.76599,1.58856,0.05595,0.00000
adaptive_probe_then_act,nominal_visible_fixture,2,14,0.92857,1.00000,0.19771,0.00000,0.00000,0.07143,0.70451,1.63170,0.09130,0.07143
adaptive_probe_then_act,nominal_visible_fixture,3,14,0.85714,1.00000,0.19901,0.00000,0.00000,0.14286,0.67724,1.60738,0.14856,0.14286
adaptive_probe_then_act,nominal_visible_fixture,4,14,0.78571,1.00000,0.19935,0.00000,0.00000,0.21429,0.63292,1.66699,0.16363,0.21429
adaptive_probe_then_act,nominal_visible_fixture,5,14,0.85714,1.00000,0.19897,0.00000,0.07143,0.14286,0.66010,1.62510,0.12336,0.14286
adaptive_probe_then_act,nominal_visible_fixture,6,14,0.92857,1.00000,0.19633,0.00000,0.00000,0.07143,0.72180,1.59454,0.08567,0.07143
adaptive_probe_then_act,nominal_visible_fixture,7,14,0.92857,1.00000,0.19629,0.00000,0.00000,0.07143,0.72180,1.61002,0.08717,0.07143
adaptive_probe_then_act,slot_axis_shift,0,14,1.00000,1.00000,0.20058,0.00000,0.00000,0.00000,0.79994,1.65557,0.05105,0.00000
adaptive_probe_then_act,slot_axis_shift,1,14,0.92857,1.00000,0.19929,0.00000,0.00000,0.07143,0.75579,1.69688,0.08258,0.07143
adaptive_probe_then_act,slot_axis_shift,2,14,0.85714,1.00000,0.20020,0.00000,0.07143,0.14286,0.71141,1.69329,0.12457,0.14286
adaptive_probe_then_act,slot_axis_shift,3,14,0.85714,1.00000,0.19926,0.00000,0.00000,0.14286,0.71150,1.74549,0.13786,0.14286
adaptive_probe_then_act,slot_axis_shift,4,14,1.00000,1.00000,0.19904,0.00000,0.00000,0.00000,0.80010,1.65244,0.04977,0.00000
adaptive_probe_then_act,slot_axis_shift,5,14,0.78571,1.00000,0.19885,0.00000,0.00000,0.21429,0.66726,1.70796,0.17023,0.21429
adaptive_probe_then_act,slot_axis_shift,6,14,1.00000,1.00000,0.19843,0.00000,0.00000,0.00000,0.80016,1.67329,0.04809,0.00000
adaptive_probe_then_act,slot_axis_shift,7,14,0.85714,1.00000,0.19932,0.00000,0.07143,0.14286,0.71150,1.72420,0.11593,0.14286
bayesian_fixture_belief,adhesive_tether_fixture,0,14,0.78571,1.00000,0.27120,0.00000,0.14286,0.21429,0.57431,1.82986,0.19764,0.21429
bayesian_fixture_belief,adhesive_tether_fixture,1,14,0.71429,1.00000,0.27120,0.00000,0.07143,0.28571,0.53859,1.83561,0.21110,0.28571
bayesian_fixture_belief,adhesive_tether_fixture,2,14,0.92857,1.00000,0.27120,0.14286,0.14286,0.07143,0.67145,1.90745,0.15839,0.07143
bayesian_fixture_belief,adhesive_tether_fixture,3,14,0.92857,1.00000,0.27120,0.00000,0.07143,0.07143,0.66288,1.77655,0.15728,0.07143
