force_x,force_y,contact_x,contact_y,disp_x,disp_y,rotation,resistance,slip,release_cue,recoil,torque,seed,scenario,split,layout_id,probe,fixture_type,visible_hint,stress_level
0.837661,-0.049010,0.206379,0.243865,0.087432,-0.001641,-0.003972,0.197647,0.231661,0.000000,0.000000,-0.082253,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,0,free,unknown,0.00
0.848756,0.477696,-0.417629,0.029708,0.078129,0.052478,0.005021,0.242005,0.183554,0.005271,0.010150,-0.130653,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,1,free,unknown,0.00
0.260703,0.689456,-0.419789,-0.008864,0.059853,0.084797,-0.005311,0.222584,0.201274,0.000543,0.006378,-0.299211,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,2,free,unknown,0.00
-0.281714,1.024158,-0.405747,0.072323,0.006382,0.108152,-0.013073,0.213554,0.186507,0.016464,0.000000,-0.515715,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,3,free,unknown,0.00
-0.749053,0.286214,-0.030932,-0.279240,-0.060856,-0.000089,-0.006396,0.235370,0.179268,0.000000,0.000000,-0.354484,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,4,free,unknown,0.00
-0.922886,-0.127743,0.064536,-0.276675,-0.085234,0.001967,-0.014335,0.224139,0.178901,0.000000,0.012835,-0.395440,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,5,free,unknown,0.00
-0.537599,-0.542141,0.299336,-0.196410,-0.059600,-0.039914,0.005174,0.204498,0.240778,0.002474,0.000000,-0.309358,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,6,free,unknown,0.00
-0.324937,-0.859591,0.329422,-0.173693,-0.002024,-0.085330,-0.009369,0.206419,0.161405,0.000000,0.000000,-0.324513,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,7,free,unknown,0.00
0.304164,-0.762076,0.418898,0.020270,0.028821,-0.094340,-0.008241,0.212817,0.183585,0.000000,0.000000,-0.221208,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,8,free,unknown,0.00
0.663737,-0.531521,0.132980,0.265595,0.068261,-0.070834,-0.005947,0.201325,0.138504,0.009709,0.000000,-0.105057,0,0,nominal_visible_fixture,nominal_visible_fixture_0_0_free,9,free,unknown,0.00
1.078896,-0.076741,0.075927,0.275387,0.027568,0.026920,-0.007638,1.144675,0.037057,0.493071,0.797301,-0.368943,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,0,clamp,clamp,0.00
0.558501,0.682333,-0.366731,0.136477,-0.001863,0.045509,0.001001,1.231499,0.103802,0.019389,0.801188,-0.620563,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,1,clamp,clamp,0.00
0.191079,0.779401,-0.383366,0.114368,-0.000886,0.019909,-0.006878,1.225676,0.054534,0.002874,0.811740,-0.617816,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,2,clamp,clamp,0.00
-0.198491,1.062234,-0.273790,-0.212330,-0.022649,0.020565,-0.006786,1.235817,0.119317,0.000000,0.791881,-0.698153,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,3,clamp,clamp,0.00
-0.816861,0.507880,0.007685,-0.279953,-0.006283,-0.004879,0.002440,1.235353,0.041286,0.000000,0.797044,-0.336727,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,4,clamp,clamp,0.00
-0.814873,-0.136789,-0.113482,-0.269586,0.002818,0.027845,-0.007046,1.210557,0.028906,0.000000,0.787285,-0.084194,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,5,clamp,clamp,0.00
-0.728794,-0.465289,0.343605,-0.161018,-0.032945,-0.009661,0.009340,1.251411,0.095039,0.020312,0.795196,-0.046474,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,6,clamp,clamp,0.00
-0.374694,-0.873573,0.195198,-0.247923,0.021314,0.010864,-0.004867,1.222632,0.113538,0.168031,0.794642,0.083588,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,7,clamp,clamp,0.00
0.273569,-0.938700,0.397759,-0.089908,0.019961,0.018563,0.005825,1.088917,0.061146,0.748423,0.789738,-0.034590,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,8,clamp,clamp,0.00
0.968820,-0.583192,-0.048963,0.278091,-0.009745,-0.037546,-0.003790,1.088814,0.001075,0.878227,0.796769,-0.114993,0,1,nominal_visible_fixture,nominal_visible_fixture_0_1_clamp,9,clamp,clamp,0.00
0.887936,0.098215,-0.173367,0.255033,-0.004869,0.019191,-0.040526,0.853287,0.116347,0.000000,0.006148,-0.401220,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,0,hinge,unknown,0.00
0.731156,0.548477,-0.231291,0.233718,0.000715,0.026240,-0.057012,0.698672,0.062703,0.006650,0.002951,-0.605319,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,1,hinge,unknown,0.00
0.296859,0.888916,-0.374702,-0.126488,0.000090,0.084158,-0.061256,0.688751,0.113834,0.002364,0.000000,-0.673576,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,2,hinge,unknown,0.00
-0.237498,1.133150,-0.372185,-0.129749,0.020482,0.053695,-0.067611,0.631580,0.071565,0.000000,0.000000,-0.850946,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,3,hinge,unknown,0.00
-0.751857,0.518599,-0.079609,-0.274924,-0.054178,0.042533,-0.044333,0.797519,0.050253,0.000000,0.000000,-0.343093,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,4,hinge,unknown,0.00
-1.064976,-0.019177,-0.104953,-0.271117,-0.011306,0.020605,-0.025113,1.048354,0.078235,0.006585,0.000480,-0.135006,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,5,hinge,unknown,0.00
-0.896104,-0.549608,0.283311,-0.206704,-0.007004,-0.000277,0.002025,1.060820,0.068117,0.007183,0.001836,-0.010562,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,6,hinge,unknown,0.00
-0.403976,-0.855524,0.369270,-0.133400,0.009712,-0.006585,0.015628,0.592051,0.090376,0.001766,0.000000,0.010075,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,7,hinge,unknown,0.00
0.339630,-0.855862,0.344496,0.160170,0.003845,-0.007598,-0.016480,1.019181,0.119518,0.012945,0.000000,-0.070071,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,8,hinge,unknown,0.00
0.673813,-0.327663,0.107001,0.270761,0.006822,0.001320,-0.027520,0.848862,0.035815,0.000000,0.000000,-0.184370,0,2,nominal_visible_fixture,nominal_visible_fixture_0_2_hinge,9,hinge,unknown,0.00
1.046890,0.057155,0.011275,0.279899,0.009987,-0.013891,-0.012034,1.902312,0.188784,0.006385,0.005022,-0.215699,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,0,slot,slot,0.00
0.840431,0.705879,-0.419994,-0.001547,-0.035982,0.053180,-0.006715,1.407116,0.101443,0.000000,0.001116,-0.369849,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,1,slot,slot,0.00
0.464031,1.002196,-0.192846,0.248739,-0.027785,0.114237,-0.018449,0.816734,0.129053,0.005059,0.007143,-0.476358,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,2,slot,slot,0.00
-0.209960,0.992232,-0.338187,-0.166039,-0.041949,0.109284,-0.005567,0.410706,0.280720,0.001924,0.004576,-0.592993,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,3,slot,slot,0.00
-0.761882,0.627018,-0.419840,0.007732,-0.030353,0.084455,-0.014099,0.705500,0.191057,0.014088,0.000000,-0.451183,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,4,slot,slot,0.00
-1.073145,0.049066,0.087677,-0.273831,-0.015617,0.074968,-0.009381,1.590927,0.053181,0.000000,0.000000,-0.390385,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,5,slot,slot,0.00
-0.772972,-0.472539,0.007441,-0.279956,0.020660,-0.035409,-0.008122,1.670152,0.136389,0.000081,0.004613,-0.187697,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,6,slot,slot,0.00
-0.358324,-1.119858,0.300198,-0.195824,0.016463,-0.095671,0.003986,0.754688,0.140557,0.008595,0.000000,-0.205460,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,7,slot,slot,0.00
0.240888,-1.053014,0.419350,-0.015575,0.076359,-0.111631,0.004453,0.349832,0.135483,0.000000,0.008110,-0.200097,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,8,slot,slot,0.00
0.747181,-0.782052,0.391666,0.101100,0.001045,-0.094969,-0.003913,0.621796,0.108857,0.000000,0.000000,-0.157256,0,3,nominal_visible_fixture,nominal_visible_fixture_0_3_slot,9,slot,slot,0.00
1.114186,-0.064031,-0.116024,0.269104,0.050636,0.011399,0.002318,1.317184,0.075306,0.011197,0.595246,-0.281412,0,4,nominal_visible_fixture,nominal_visible_fixture_0_4_suction,0,suction,suction,0.00
0.865801,0.712064,-0.272890,0.212844,0.067970,0.056085,-0.006210,0.673372,0.000000,0.693426,0.202855,-0.424045,0,4,nominal_visible_fixture,nominal_visible_fixture_0_4_suction,1,suction,suction,0.00
0.348074,1.054292,-0.419855,-0.007360,0.046011,0.155602,-0.007259,0.399947,0.115759,0.966205,0.008746,-0.512790,0,4,nominal_visible_fixture,nominal_visible_fixture_0_4_suction,2,suction,suction,0.00
-0.284869,0.671175,-0.331153,-0.172224,-0.052629,0.067473,0.003357,0.586760,0.000140,0.751289,0.151199,-0.320539,0,4,nominal_visible_fixture,nominal_visible_fixture_0_4_suction,3,suction,suction,0.00
-0.792209,0.542503,-0.340974,-0.163486,-0.076613,0.048125,0.000326,0.666106,0.146259,0.671921,0.203689,-0.357529,0,4,nominal_visible_fixture,nominal_visible_fixture_0_4_suction,4,suction,suction,0.00
-0.943683,0.031084,0.004783,-0.279982,0.004325,0.005721,0.007142,1.221827,0.064379,0.050479,0.579290,-0.271734,0,4,nominal_visible_fixture,nominal_visible_fixture_0_4_suction,5,suction,suction,0.00
-0.688815,-0.663624,0.092013,-0.273198,-0.001551,-0.036543,-0.010853,1.290277,0.118308,0.007980,0.624677,-0.206203,0,4,nominal_visible_fixture,nominal_visible_fixture_0_4_suction,6,suction,suction,0.00
